id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
0,name,NAN,NAN,NAN,NAN,NAN,NAN
1,4stufen,1.7976931348623157e+308,91797.544247370708,16.171350570999998,19,00240,00
2,autocorr_bern20-05,-416.00000000000006,-416.00000000000006,2.502480514,0,0010,10
3,autocorr_bern20-10,-2936,-2936,65.634566984,1,0010,10
4,autocorr_bern20-15,-5960,-5960,200.572152673,3,0010,10
5,autocorr_bern25-06,-960,-960,107.260526965,0,0010,10
6,autocorr_bern25-13,-8148.0000000099908,-12237.333333333328,299.98398353299996,3,1000,10
7,autocorr_bern25-19,-14588.00000000999,-50151.602684107682,299.970364084,3,1000,10
8,autocorr_bern25-25,-10656.00000000999,-56506.276976691042,299.965274806,7,1000,10
9,autocorr_bern30-04,-324,-324,12.81884233,0,0010,10
10,autocorr_bern30-08,-2952.0000000099894,-4921.5724137931002,300.000033706,2,1000,10
11,autocorr_bern30-15,-15744.000000009994,-49957.3856624849,299.972882923,5,1000,10
12,autocorr_bern30-23,-30276.00000000999,-167436.47619047627,299.94718014,3,1000,10
13,autocorr_bern30-30,-22472.00000000999,-141606.57763220393,299.970881655,5,1000,10
14,autocorr_bern35-04,-384,-384,66.417047112,0,0010,10
15,autocorr_bern35-09,-5104.0000000099899,-13184,299.98752314899997,3,1000,10
16,autocorr_bern35-18,-31072.000000009986,-162241.66284774774,299.97842793,7,1000,10
17,autocorr_bern35-26,-55096.000000009997,-362226.55759137351,299.928109577,4,1000,10
18,autocorr_bern35-35fix,-40284.00000000999,-309919.86345278565,299.920791317,7,1000,10
19,autocorr_bern40-05,-936.00000000999,-1287.6563279857398,299.996539529,2,1000,10
20,autocorr_bern40-10,-8232.0000000099899,-29590.058999892277,299.981020864,5,1000,10
21,autocorr_bern40-20,-50344.00000000999,-298029.09567619237,299.925545374,5,1000,10
22,autocorr_bern40-30,-93960.000000010012,-755446.22386350017,299.88107971899996,3,1000,10
23,autocorr_bern40-40,-65852.000000009997,-566114.03845878714,299.884228238,4,1000,10
24,autocorr_bern45-05,-1064.0000000099899,-1642.3404190126603,300.00515589199995,1,1000,10
25,autocorr_bern45-11,-12648.00000000999,-55592.767007046656,299.973831125,3,1000,10
26,autocorr_bern45-23,-84852.000000009997,-622725.85608558857,299.898193443,3,1000,10
27,autocorr_bern45-34,-151224.00000001001,-1382776.3625000017,299.86160277299996,3,1000,10
28,autocorr_bern45-45,-109320.00000001,-1051736.7582649267,299.84159973,4,1000,10
29,autocorr_bern50-06,-2160.0000000099899,-5582.8227467099505,300.003334788,1,1000,10
30,autocorr_bern50-13,-23480.000000009986,-133767.76580791923,299.958858493,8,1000,10
31,autocorr_bern50-25,-123844.00000001,-1038408.8803647379,299.891372783,4,1000,10
32,autocorr_bern55-06,-2400.0000000099899,-6716.4523177165829,299.99170313400003,2,1000,10
33,autocorr_bern55-14,-32776.00000000999,-190264.81584647179,299.960298053,6,1000,10
34,autocorr_bern60-08,-6792.0000000099899,-27276.238964760247,299.99527807299995,6,1000,10
35,autocorr_bern60-15,-44548.000000009997,-275897.99046848051,299.936889764,6,1000,10
36,batch0812_nc,2687026.7795078037,747572.16962811037,0.21818796000000001,2,0020,00
37,batch_nc,285506.50789399887,60414.183888101063,0.24436501,3,00160,00
38,beuster,NAN,NAN,NAN,NAN,NAN,NAN
39,casctanks,9.1634771241571116,-691.36200000000088,21.941444466,23,00190,00
40,contvar,813386.92992317176,356470.83982225164,303.584944728,46,210450,00
41,csched1,1.7976931348623157e+308,-321528006.44902003,0.12728445800000002,2,0020,00
