id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,285506.50498104404,286459.2951516155,8.799834176898003e-07,0.07594174891710281,2,5,0,2,0
1,batch0812.nl,2998471.3570976234,2998471.3570976234,0.17299534007906914,0.14393032796215266,2,3,1,2,0
2,batchdes.nl,167427.65337972456,167427.65337972456,0.025105457054451108,0.027564355987124145,2,3,0,2,0
3,clay0203hfsg.nl,41573.26250375058,397030492.2487917,0.0947152649750933,0.6518735359422863,3,9,7,3,0
4,clay0204hfsg.nl,6604.99996345,6604.99996345,0.25984196504577994,3.3603898809524253,2,6,4,2,0
5,clay0205hfsg.nl,8600.9349061685,8600.9349061685,0.6384440070251003,30.80634537304286,3,7,3,3,0
6,clay0303hfsg.nl,47287.561323850285,509927954.36568594,0.1278257470112294,2.309023787965998,6,24,22,6,0
7,clay0304hfsg.nl,64167.74654635093,3545106123.4614897,0.31275167607236654,6.68017275701277,6,23,21,6,0
8,clay0305hfsg.nl,8218.940348425174,8218.940348425174,0.7234213629271835,80.18318244698457,2,6,1,2,0
9,cvxnonsep_normcon20.nl,-21.7491473846331,-21.66940909206711,0.019820224959403276,0.01686693204101175,2,2,0,2,0
10,cvxnonsep_normcon30.nl,-34.2275120670215,-32.76694046368571,0.017438421957194805,0.01923852099571377,2,2,0,2,0
11,cvxnonsep_normcon40.nl,-32.6296697474825,-31.16321875870223,0.025060123996809125,0.025923462002538145,2,2,0,2,0
12,cvxnonsep_nsig20.nl,80.9492946574176,80.9552327974796,0.015167167992331088,0.01791119808331132,2,2,0,2,0
13,cvxnonsep_nsig20r.nl,92.54757175177032,97.27747523667496,0.017598886974155903,0.02651629992760718,2,2,0,2,0
14,cvxnonsep_nsig30.nl,130.65033700034454,130.64601883099732,0.01818387198727578,0.022031330969184637,2,2,0,2,0
15,cvxnonsep_nsig30r.nl,160.91797524260534,166.4432702819827,0.024026602040976286,0.08381471305619925,3,5,1,3,0
16,cvxnonsep_nsig40.nl,133.96132894832803,134.18791320377326,0.025361947948113084,0.026493526995182037,2,2,0,2,0
17,cvxnonsep_nsig40r.nl,134.61160703345774,135.62339756214482,0.03362017800100148,0.2579276979668066,4,10,1,4,0
18,cvxnonsep_pcon20.nl,-21.469437905707228,-21.434820032615328,0.01499613409396261,0.019056209945119917,2,2,0,2,0
19,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.4348205714153,0.02239248005207628,0.021980504970997572,2,2,0,2,0
20,enpro48pb.nl,201345.66285889235,200546.14281126705,0.23874430102296174,0.26956688601057976,2,3,0,2,0
21,enpro56pb.nl,320103.99298174295,369421.3966084784,0.18216965103056282,0.440266718971543,4,4,1,4,0
22,ex1223.nl,5.579582371286729,5.564873814428035,0.025970760034397244,0.016207554028369486,2,2,0,2,0
23,ex1223b.nl,4.57958237379399,5.807084566269836,0.010121010011062026,0.01892207993660122,2,3,0,2,0
24,fac1.nl,160912612.2935292,160912612.2935292,0.01349236408714205,1.48832685907837,2,3,1,2,0
25,fac2.nl,331837497.8380618,331837497.8380618,0.03140939399600029,0.04127766692545265,2,2,0,2,0
