name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs
batch,285506.5082,285506.5082441529,0,0.28131867572665215,0.24392900000000167,0,0,285506.50498104404,285506.50498104404,1.0470394045114517e-06,0.08914212102536112,2,5,0,2,1,285506.50824409,285439.2334564008,0.06827,285506.5082439559,282735.915155506,0.388102,285506.91057224385,285506.46608572738,0.110934329,3,0000,390
batch0812,2687026.784,2687026.7842479367,0,1.3968832744285464,0.5581770000000116,0,0,2944490.714678177,2944490.714678177,0.1751520539401099,0.27845335903111845,3,5,1,3,2,2702301.4715899015,2678869.934685793,0.04828,2687026.7844078485,2660956.101105834,0.234793,2705842.8525372744,2687024.720533364,0.31709796199999996,8,0010,280
batchdes,167427.6571,167427.65711474538,0,0.07231346424669027,0.06137699999999996,0,0,167427.65337972456,167427.65337972456,0.025213591987267137,0.028569199959747493,2,3,0,2,1,167427.6571147706,167358.1632579224,0.012643999999999999,167427.6563284942,167427.6567828456,0.023957,167427.73779460439,167424.82743779561,0.047965545,2,0000,90
clay0203hfsg,41573.26252,41573.26252221283,0,5.881175769492984,1.509586999999963,0,0,41573.26250375058,41176.73908167605,0.09625871910247952,1.68746564805042,5,18,13,3,3,41573.262522401696,41459.57183353081,0.7100660000000001,41573.262522035075,41573.26252203507,1.054407,41573.072310041483,41573.072310041483,0.274896144,3,0010,30
clay0204hfsg,6545.0,6545.000000000707,0,20.93626103643328,6.393969999998204,0,0,6604.99996345,6544.944940000013,0.2663724890444428,3.7849788289749995,2,6,4,2,1,6545,6545,0.916478,6545,6545,3.668378,6544.9998820007277,6544.9998820007277,1.003186833,4,0010,30
clay0205hfsg,8092.5,8092.500000000955,0,302.9323520520702,98.05686099988861,0,0,8092.499956870159,8084.9858812575185,0.6352927010739222,91.48672629101202,4,12,3,3,1,8092.499998921639,8011.80237137899,12.887191,8092.5,8012.500000000001,21.546509,8092.499859901237,8092.499859901237,3.778141318,3,0010,30
clay0303hfsg,26669.10957,26669.109572486403,0,7.253073371946812,1.9490380000001508,0,0,26669.10955101354,26669.032861746942,0.12475532095413655,5.018356802989729,8,34,28,7,3,26669.109572740843,26458.10032464017,0.6625510000000001,26669.109572280402,26669.1095722804,2.6230990000000003,26669.092175553928,26669.092175553928,0.979395187,5,0010,120
clay0304hfsg,40262.38753,40262.38753060858,0,97.51774627715349,28.290127999980584,0,0,40262.38749393643,39888.73058071691,0.31304511602502316,17.772355577908456,10,41,33,7,5,40262.3875307319,39879.81304499139,8.678494,40262.38753020098,40262.38753020098,8.365646,40262.387440997947,40262.387440997947,4.831015237,10,0010,80
clay0305hfsg,8092.5,8320.0000000009,0,302.7536187181249,101.98047099996293,0,0,8092.499956698056,8092.436447471299,0.7456144930329174,122.35099858709145,5,15,6,4,2,8092.5,8012.688940202791,12.86982,8092.499966935132,8092.499966935132,27.649364,8092.4998599011451,8092.4998599011451,6.820155356,8,0010,140
cvxnonsep_normcon20,-21.74914736,-21.749147363703806,0,0.032731592655181885,0.038281,0,0,-21.7491473846331,-21.82222547389317,0.024528457899577916,0.020950644044205546,2,2,0,2,1,-21.731620894918212,-21.76306471678597,0.013292,-21.749147364359114,-21.74924416566666,0.038187,-21.719247990639417,-21.750459154164165,0.021526086,0,0000,00
