id,path,obj,dual_obj,calc_time
0,4stufen.mod,116497.585926777,104080.7846466417,300.185023
1,autocorr_bern20-05.mod,-416,-420,3.8842049999999997
2,autocorr_bern20-10.mod,-2920,-8744,8.160261
3,autocorr_bern20-15.mod,-5952,-23447.99999999981,8.043935
4,autocorr_bern25-06.mod,-960,-2480,8.035161
5,autocorr_bern25-13.mod,-8140,-36208,8.041667
6,autocorr_bern25-19.mod,-14340,-130962,8.059674
7,autocorr_bern25-25.mod,-9952,-96230,8.060509
8,autocorr_bern30-04.mod,-324,-324,2.991148
9,autocorr_bern30-08.mod,-2952,-14112,8.086644
10,autocorr_bern30-15.mod,-15440,-109060,8.058542
11,autocorr_bern30-23.mod,-28728,-323272,8.074268
12,autocorr_bern30-30.mod,-18256,-304086,8.072705999999998
13,autocorr_bern35-04.mod,-384,-404,8.031858
14,autocorr_bern35-09.mod,-5056,-28748,8.052674999999999
15,autocorr_bern35-18.mod,-30616,-321408,8.078854999999999
16,autocorr_bern35-26.mod,-33336,-843672,8.093928
17,autocorr_bern35-35fix.mod,-20348,-612464,8.10856
18,autocorr_bern40-05.mod,-932,-1776,8.035686
19,autocorr_bern40-10.mod,-8144,-55360,8.048419
20,autocorr_bern40-20.mod,-42592,-648144,8.08628
21,autocorr_bern40-30.mod,-60529,-1511680,8.117436
22,autocorr_bern40-40.mod,-51300,-1236880,8.135101
23,autocorr_bern45-05.mod,-1052,-1784,8.0353
24,autocorr_bern45-11.mod,-12528,-93176,8.060747999999998
25,autocorr_bern45-23.mod,-78816,-1298196,8.116719
26,autocorr_bern45-34.mod,-137128,-2825936,8.165247
27,autocorr_bern45-45.mod,-81672,-2064416,8.177301
28,autocorr_bern50-06.mod,-2136,-9304,8.128354
29,autocorr_bern50-13.mod,-22284,-210472,8.080782000000001
30,autocorr_bern50-25.mod,-101244,-1978638,8.136617
31,autocorr_bern55-06.mod,-2368,-10248,8.088199
32,autocorr_bern55-14.mod,-29248,-324576,8.086302
33,autocorr_bern60-08.mod,-6700,-44356,8.054736
34,autocorr_bern60-15.mod,-39552,-518556,8.102279
35,batch0812_nc.mod,2687026.7842490394,2661286.039083969,0.050711
36,batch_nc.mod,285506.50824420404,283134.4713751855,0.10391
37,beuster.mod,116679.30503821943,102278.2846626903,300.067806
38,casctanks.mod,24.474476243540582,6.596972682345402,0.9512579999999999
39,contvar.mod,828200.6680749236,490079.4645465998,300.03404700000004
40,csched1.mod,-29499.62317261741,-44749.36458103546,0.058799000000000004
41,csched1a.mod,-29885.270993199236,-32042.86921121677,0.037694
42,csched2.mod,-165977.6547105573,-166697.0282865502,60.678984
43,csched2a.mod,-165202.31129133262,-166807.8322717216,3.4731870000000002
44,eg_int_s.mod,0,-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104,4.640846
45,eniplac.mod,-131358.6828913684,-132341.9571801993,0.026803
46,ex1221.mod,7.667180068813135,7.667180068813131,0.00886
47,ex1222.mod,1.0765430863333172,1.076543083332262,0.009186
48,ex1224.mod,-0.9434704979969407,-0.9479361306362163,0.015901000000000002
49,ex1225.mod,31,31,0.009821
50,ex1226.mod,-17,-17.15131629947626,0.010275000000000001
51,ex1233.mod,155522.4621652505,114458.646914129,0.481067
52,ex1243.mod,83402.50641025591,83402.3612041677,0.078179
53,ex1244.mod,82042.90522137925,82042.90522137923,0.11621999999999999
54,ex1252.mod,128893.74101350478,128288.5846396238,0.677231
55,ex1252a.mod,134471.56039186736,77862.70688214833,0.39266799999999996
56,ex3pb.mod,68.671799605337,67.99069468901536,0.012103
57,feedtray.mod,-37.5,-68.6842105263158,0.11669500000000001
58,gasnet.mod,7010894.437078356,2769388.732558396,300.33781600000003
59,gastrans.mod,89.08584001399602,89.08583999999979,0.023
60,gastrans040.mod,0,0,1.524712
61,gear2.mod,3.299923160542868e-09,-0.01342100065669116,0.050862000000000004
62,gear3.mod,3.824836866284861e-09,-0.01937168234111814,0.033105
63,gear4.mod,4.803973077941919,0,0.041021
64,ghg_1veh.mod,7.867977210082277,-1.075874754000305,0.046438
65,ghg_2veh.mod,7.843837938804532,6.661338147750939e-16,0.101406
66,ghg_3veh.mod,7.804016451027719,0,0.34975900000000004
67,gkocis.mod,-1.923098735767847,-1.940317366555259,0.01025
68,heatexch_gen1.mod,157581.3016954915,100500,300.567727
69,heatexch_gen2.mod,1035952.3226425573,579990.0125080897,300.577989
70,heatexch_gen3.mod,783.0180644999214,52005.59412354749,300.151711
71,heatexch_spec1.mod,595481.380408325,113626.1868407784,0.223023
72,heatexch_spec2.mod,1032137.2752923948,601863.0289830329,0.258291
73,heatexch_spec3.mod,64141.64424620745,58024.70550706919,300.040035
74,hybriddynamic_var.mod,1.5364151722505655,1.523807484161981,0.033822
75,johnall.mod,-222.743009881785,-298.2922618002963,0.212105
76,kport20.mod,31.90166205096257,31.58269069293535,32.281709
77,kport40.mod,37.44748868102465,33.59675766573554,300.102201
78,nvs01.mod,12.46966882156821,12.39517947037389,0.031859
79,nvs05.mod,FAILED,infeasible,0.011381
80,nvs08.mod,23.44972734959622,23.44972734959622,0.02299
