id,path,obj,dual_obj,calc_time
103,gastrans582_mild10_95.mod,0,0,300.10350200000005
104,gastrans582_mild11.mod,0,0,30.444519
105,gastrans582_mild11_95.mod,0,0,300.121162
106,gastrans582_warm15.mod,0,0,7.006674
107,gastrans582_warm15_95.mod,0,0,300.077639
108,gastrans582_warm31.mod,0,0,86.77764
109,gastrans582_warm31_95.mod,0,0,36.027363
110,gear4.mod,31.498538989791992,0,0.16716599999999998
111,ghg_1veh.mod,7.801224655055187,-20.58049671443767,0.058824
112,ghg_2veh.mod,8.060367345572452,0,0.22592600000000002
113,ghg_3veh.mod,7.781124773454959,0,1.789627
114,gkocis.mod,-1.923026197732268,-1.923100206202565,0.018043
115,hadamard_4.mod,3,7.000000000000001,0.022497000000000003
116,hadamard_5.mod,-8.881784197001252e-16,47.2,0.029297
117,hadamard_6.mod,3,300,0.115759
118,hadamard_7.mod,0,2520,0.921416
119,hadamard_8.mod,3,20160,12.278542000000002
120,hadamard_9.mod,0,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104,10.406594
121,hda.mod,FAILED,infeasible,0
122,heatexch_gen1.mod,0,100502.0191590548,4.810458
123,heatexch_gen2.mod,18090.012508090087,580000.6001924118,300.39405800000003
124,heatexch_gen3.mod,783.0180644999214,52268.43097464358,300.131374
125,heatexch_spec1.mod,27776.49873940954,109158.5068018531,0.29513100000000003
126,heatexch_spec2.mod,46012.41682363073,592985.8851160012,0.579869
127,heatexch_spec3.mod,64428.37515950631,58459.68424089439,300.583977
128,heatexch_trigen.mod,997787.0805315016,1007493.391909379,1.239783
129,hybriddynamic_var.mod,1.5364151533747297,1.524112722766064,0.11929799999999999
130,johnall.mod,FAILED,failure,14.608084999999999
131,kan_peaks_h1_n2_g24.mod,0,-5.19566499685156,14.930741
132,kan_peaks_h1_n2_g3.mod,0,-3.724299989059869,1.04278
133,kan_peaks_h1_n5.mod,0,-26.59714926020805,41.478429
134,kan_r3_h1_n3.mod,0,-0.01365485993073889,19.524969
135,kan_r3_h1_n4.mod,89.17016316858826,-95.15358539125964,300.119297
136,kan_r3_h1_n5.mod,2.531021159704068,-44.38252133214337,300.116831
137,kan_r3_h1_n9.mod,0,-369.6874227193887,97.650451
138,kan_r5_h1_n3.mod,0,-25236.94704639998,16.99171
139,kan_r5_h1_n5.mod,0,-10.80477537133766,30.912098
140,kan_r5_h1_n8.mod,0,-303.9500006754192,54.124132
141,kport20.mod,31.809298200252343,31.50786735087502,147.357021
142,kport40.mod,40.65441270137092,31.80887922791797,3.889252
143,lip.mod,5678667.877001677,5752047.379141026,0.267673
144,mbtd.mod,9.416729999999765,2.5,219.22661
145,milinfract.mod,2.63032826114924,2.653702651378183,249.09212699999998
146,multiplants_mtg1a.mod,227.1263490689811,36574.13861610305,4.523346
147,multiplants_mtg1b.mod,42.78742446477172,305628.7503323709,12.180515999999999
148,multiplants_mtg1c.mod,57.39330207507248,246861.0756618249,5.225447
149,multiplants_mtg2.mod,0,190756.364917466,4.1577020000000005
150,multiplants_mtg5.mod,5645.348450894458,346292.4406933694,18.331461
151,multiplants_mtg6.mod,5202.185482628322,9772.338902874559,88.88336699999999
152,multiplants_stg1.mod,298.0886835476141,10345.56223665372,109.89294299999999
153,multiplants_stg1a.mod,356.0073550247703,7941.269232592263,218.779625
154,multiplants_stg1b.mod,50.69114404240124,79993.20000000007,61.962471
155,multiplants_stg1c.mod,0,60992.40000000004,58.138168
156,multiplants_stg5.mod,5716.17712662644,150881.2320000001,100.942122
157,multiplants_stg6.mod,0,208137.7200000001,109.390329
158,nvs01.mod,FAILED,failure,0.032076999999999994
159,nvs05.mod,19.83616907150739,1.348235987749214,0.410343
160,nvs08.mod,23.449727344601364,23.44972733561136,0.03945
161,nvs21.mod,-5.6847825135675,-5.684782513567501,0.023783
162,nvs22.mod,62.622840000000004,62.62284000000001,0.050671999999999995
163,oaer.mod,-1.923098196169808,-1.923098546169809,0.017827
164,oil.mod,-0.7586872917428993,-2.819421613201023,300.132971
165,oil2.mod,-0.7331088635934984,-0.7570052918030119,300.108022
166,ortez.mod,-9532.039065272098,-9534.019506041659,0.335598
167,parallel.mod,924.7725792135938,-60806.28786012901,2.737544
168,pooling_epa1.mod,-280.8056469052905,-496.1109875195092,2.526036
169,pooling_epa2.mod,-3524.1374186731286,-4649.451554325577,19.208049
170,pooling_epa3.mod,0,-14998.62231548481,60.137536
171,primary.mod,-0.8631554530629669,-100,300.267581
172,procsel.mod,-1.923098737768015,-1.923098737768013,0.017833
173,saa_2.mod,FAILED,failure,141.65827399999998
174,sepasequ_complex.mod,403.24771712829573,174.9645869369974,65.191215
175,sepasequ_convent.mod,491.49904597972744,118.255213024722,23.557424
176,sfacloc1_2_80.mod,15.066662283591654,0,6.3529599999999995
177,sfacloc1_2_90.mod,18.334548231445872,0.02655578355499633,0.758439
178,sfacloc1_2_95.mod,18.87174020479982,0.08695575886790842,0.470699
