id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
0,name,NAN,NAN,NAN,NAN,NAN,NAN
1,batch,285506.91057224304,282684.11587338062,0.083905793,1,0000,390
2,batch0812,2705840.5413623694,2705840.4389048289,0.434659766,10,0030,280
3,batchdes,167427.73779460462,167426.04286671511,0.062016971,1,0000,90
4,batchs101006m,773392.15828828944,766473.41229886899,1.213893044,11,0000,240
5,batchs121208m,1252271.0562899059,1239892.5578764342,1.737245155,10,0000,240
6,batchs151208m,1547712.7835327894,1533497.9863016584,4.62274432,20,0000,240
7,batchs201210m,2297866.4299045084,2281792.5465847845,5.373912152,20,0000,260
8,clay0203hfsg,41573.189540854313,41571.561967152178,0.430406877,4,0000,30
9,clay0204hfsg,6604.9999687678173,6604.9999687678173,1.3620680909999998,5,0010,30
10,clay0205hfsg,8092.5,8092.5,4.602888439,6,0010,30
11,clay0303hfsg,26669.10279399361,26669.10279399361,0.8752219050000001,5,0010,120
12,clay0304hfsg,40262.387388268049,40262.384041750949,3.75823545,9,0010,70
13,clay0305hfsg,8092.4998599010851,8024.9999999999982,8.811259934,12,0000,140
14,cvxnonsep_normcon20,-21.74910911991018,-21.75052893550378,0.044004021,0,0000,00
15,cvxnonsep_normcon30,-34.036907526955801,-34.243968629485316,0.023170111,0,0000,00
16,cvxnonsep_normcon40,-32.463517379145202,-32.629672354984017,0.103526593,0,0000,00
17,cvxnonsep_nsig20,81.204374000561003,80.415519330215659,0.046424692,1,0000,30
18,cvxnonsep_nsig20r,80.993399161303699,80.6588934115195,0.231252565,7,0040,30
19,cvxnonsep_nsig30,131.1015162477602,130.43076592271871,0.065122209,2,0000,30
20,cvxnonsep_nsig30r,157.46364825513282,155.90162476952193,0.116423568,3,0000,30
21,cvxnonsep_nsig40,134.07419130529081,133.58221864526118,0.071748487,2,0000,50
22,cvxnonsep_nsig40r,134.08441923526561,133.7678332231296,0.11388085799999999,2,0000,50
23,cvxnonsep_pcon20,-21.50052287035874,-21.710512997110659,0.033951877,1,0000,120
24,cvxnonsep_pcon20r,-21.433368727210574,-21.520673508714701,0.074580086,2,0000,140
25,cvxnonsep_pcon30,-35.909885601978125,-36.196506122566554,0.034535512000000004,1,0000,110
26,cvxnonsep_pcon30r,-35.986842339738025,-36.014909395985171,0.102153143,2,0000,100
27,cvxnonsep_pcon40,-46.451410799611743,-46.860864389764423,0.027139721,0,0000,90
28,cvxnonsep_pcon40r,-46.599168894387738,-46.616271186641768,0.204235109,3,0000,90
29,cvxnonsep_psig20,93.875576074338724,93.06689368549263,0.094107281,4,0000,110
30,cvxnonsep_psig20r,96.24988200655099,95.72354408515875,0.087912029,2,0000,80
31,cvxnonsep_psig30,79.192677363686386,78.891949832585084,0.108929312,4,0000,100
32,cvxnonsep_psig30r,79.703412087944784,78.984499755959845,0.17942830799999998,3,0000,100
33,cvxnonsep_psig40,85.569025064225201,85.459387037064644,0.093124048,4,0000,100
34,cvxnonsep_psig40r,86.545101993551398,85.774779227816325,0.244576414,4,0020,100
35,enpro48pb,187277.2561875098,186376.46609932551,0.17656662,2,0010,120
36,enpro56pb,263428.29568168771,262927.55803474784,0.32324917200000003,4,0010,140
37,ex1223,4.5795824024367047,4.5795824024367047,0.017035357,0,0000,20
38,ex1223b,4.579582381569371,4.5793693763166567,0.016395165,0,0000,20
