id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,364417.00690611626,364417.00690611626,7.702037692070007e-07,0.04233461432158947,0.02897600457072258,0.01335860975086689,2,2,0,2,0
1,batch0812.nl,3109204.8076459332,3109204.8076459332,0.11067493353039026,0.16050704289227724,0.13895147386938334,0.021555569022893906,2,3,1,2,0
2,batchdes.nl,167427.65337972456,167427.65337972456,0.025143424980342388,0.033061059191823006,0.01712173968553543,0.015939319506287575,3,3,0,3,0
3,batchs101006m.nl,769440.4053867864,769440.4053867864,1.0158982742577791,1.113219573162496,1.0394777292385697,0.07374184392392635,2,5,0,2,0
4,batchs121208m.nl,1251917.4517096377,1251917.4517096377,2.449436622671783,1.382440760731697,1.2618097867816687,0.12063097395002842,2,4,0,2,0
5,batchs151208m.nl,1555163.0877867392,1555163.0877867392,2.905461998656392,2.188353566452861,2.0542239136993885,0.13412965275347233,2,5,0,2,0
6,batchs201210m.nl,2316313.9250678536,2316313.9250678536,5.091723482124507,4.57232791185379,4.33227798063308,0.24004993122071028,2,5,0,2,0
7,clay0203hfsg.nl,42098.8448576447,42098.8448576447,0.1808542851358652,1.3228339906781912,1.200356357730925,0.1224776329472661,4,16,11,4,0
8,clay0204hfsg.nl,6544.999962762632,6544.986165103981,0.2307274518534541,1.3358160136267543,1.2923526661470532,0.04346334747970104,2,6,3,2,0
9,clay0205hfsg.nl,8092.4999566980405,8092.4999566980405,0.42646621260792017,2.6465794946998358,2.5803863490000367,0.06619314569979906,2,6,0,2,0
10,clay0303hfsg.nl,28351.419449595523,28351.419449595523,0.18568046391010284,1.8561697136610746,1.690087947063148,0.16608176659792662,4,16,12,4,0
11,clay0304hfsg.nl,40262.38749393643,40262.38749393643,0.3070472087711096,7.667775149457157,6.999750970862806,0.6680241785943508,7,31,26,7,0
12,clay0305hfsg.nl,8092.4999566980505,8092.499956698056,0.5539154428988695,2.7941632522270083,2.713665943592787,0.08049730863422155,2,6,0,2,0
13,cvxnonsep_normcon20.nl,-21.7491473846331,-21.41334008443547,0.05063917767256498,0.01874010358005762,0.008532810024917126,0.010207293555140495,2,2,0,2,0
14,cvxnonsep_normcon30.nl,-34.22751206702149,-32.949231506491536,0.034476189874112606,0.022886104881763458,0.010462173260748386,0.012423931621015072,2,2,0,2,0
15,cvxnonsep_normcon40.nl,-32.6296697474825,-30.01776320665603,0.0547963036224246,0.02855628076940775,0.013182700611650944,0.015373580157756805,2,2,0,2,0
16,cvxnonsep_nsig20.nl,80.94929465741761,82.39178066188856,0.031710817478597164,0.01925051026046276,0.008950204588472843,0.010300305671989918,2,2,0,2,0
17,cvxnonsep_nsig20r.nl,80.94927862502492,80.81581789826072,0.021270139142870903,0.021333313547074795,0.008312509395182133,0.013020804151892662,2,2,0,2,0
18,cvxnonsep_nsig30.nl,130.65033700034454,132.85630348487695,0.04687209893018007,0.025987125001847744,0.013157476671040058,0.012829648330807686,2,2,0,2,0
19,cvxnonsep_nsig30r.nl,156.4266167111624,156.2343211644331,0.03387284092605114,0.027369054965674877,0.010065772570669651,0.017303282395005226,2,2,0,2,0
20,cvxnonsep_nsig40.nl,133.96132894832803,135.39798878198906,0.07922547869384289,0.03171872720122337,0.015535988844931126,0.016182738356292248,2,2,0,2,0
21,cvxnonsep_nsig40r.nl,133.96126813632867,133.74488859965595,0.04631990008056164,0.040617567487061024,0.012996910139918327,0.027620657347142696,2,2,0,2,0
22,cvxnonsep_pcon20.nl,-21.469437905707228,-21.629610239291953,0.040460663847625256,0.023962000384926796,0.012915987521409988,0.011046012863516808,2,2,0,2,0
23,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.62961019921222,0.023953331634402275,0.02250378392636776,0.00889531895518303,0.01360846497118473,2,2,0,2,0
24,cvxnonsep_pcon30.nl,-35.947546900386875,-36.15628296632238,0.0405768109485507,0.026219897903501987,0.013875160366296768,0.01234473753720522,2,2,0,2,0
25,cvxnonsep_pcon30r.nl,-35.94754683755864,-36.15628290478362,0.03561860043555498,0.026304776780307293,0.009772363118827343,0.01653241366147995,2,2,0,2,0
26,cvxnonsep_pcon40.nl,-46.57800468535515,-46.78238836479686,0.06452733278274536,0.03324933722615242,0.017952329479157925,0.015297007746994495,2,2,0,2,0
27,cvxnonsep_pcon40r.nl,-46.57800460368898,-46.78238828198824,0.05122018977999687,0.04427650477737188,0.014251502230763435,0.030025002546608448,2,2,0,2,0
28,cvxnonsep_psig20.nl,93.81138766483134,93.73708927503992,0.029367550276219845,0.022830044850707054,0.010967941023409367,0.011862103827297688,2,2,0,2,0
29,cvxnonsep_psig20r.nl,95.89739532923831,95.80647949893087,0.02054098155349493,0.022852624766528606,0.009203335270285606,0.013649289496243,2,2,0,2,0
30,cvxnonsep_psig30.nl,79.00237822815792,78.74479813452173,0.02726683020591736,0.02367924153804779,0.012121496722102165,0.011557744815945625,2,2,0,2,0
31,cvxnonsep_psig30r.nl,79.00240266582215,78.74482563402228,0.029930579476058483,0.027089020237326622,0.010941828601062298,0.016147191636264324,2,2,0,2,0
32,cvxnonsep_psig40.nl,85.49914724357482,85.20136272924489,0.04278009384870529,0.029302498325705528,0.014362997375428677,0.014939500950276852,2,2,0,2,0
33,cvxnonsep_psig40r.nl,86.54515088523402,86.29696855652205,0.04148042481392622,0.042984544299542904,0.014211210422217846,0.028773333877325058,2,2,0,2,0
34,enpro48pb.nl,199340.47243641608,199340.47243641608,0.27517208829522133,0.2558761863037944,0.20353752467781305,0.05233866162598133,3,4,0,3,0
35,enpro56pb.nl,263428.2966425004,263428.2966425004,0.19083646964281797,0.2818064736202359,0.25116076692938805,0.030645706690847874,2,4,1,2,0
36,ex1223.nl,4.579582373600571,4.579582373600571,0.03128881752490997,0.03864064160734415,0.017647569067776203,0.020993072539567947,3,6,0,3,0
37,ex1223b.nl,4.57958237379399,4.57958237379399,0.011367266066372395,0.032228960655629635,0.013662382028996944,0.01856657862663269,3,5,0,3,0
38,fac1.nl,160912612.2935292,160912612.2935292,0.01644247118383646,1.6112848026677966,1.6000277493149042,0.011257053352892399,2,4,1,2,0
39,fac2.nl,331837497.8380618,331837497.8380618,0.03943524416536093,0.0434967502951622,0.03076011035591364,0.012736639939248562,2,2,0,2,0
40,flay02h.nl,37.94733186289341,37.94733188293823,0.026297813281416893,0.056824009865522385,0.03705965355038643,0.019764356315135956,3,5,0,3,0
41,flay02m.nl,37.947331804570084,37.947331824571066,0.013203778304159641,0.03566525690257549,0.01720652263611555,0.018458734266459942,3,5,0,3,0
42,flay03h.nl,48.989794833145126,48.98979487314674,0.06903860531747341,0.21306103840470314,0.16548828594386578,0.047572752460837364,3,9,0,3,0
43,flay03m.nl,48.98979470823187,48.98979474823498,0.0301225483417511,0.07136553432792425,0.0450048977509141,0.026360636577010155,3,8,0,3,0
44,flay04h.nl,54.416666690383295,54.416666701505406,0.18268375657498837,0.9954987578094006,0.9508452685549855,0.044653489254415035,2,6,0,2,0
45,flay04m.nl,54.40588191425191,54.40588191425126,0.04795789439231157,0.12467866763472557,0.10768171772360802,0.016996949911117554,2,6,0,2,0
46,flay05h.nl,64.49806202719697,64.49806210573644,0.3866086006164551,9.070472748018801,8.946364558301866,0.12410818971693516,3,10,0,3,0
47,flay05m.nl,64.49806181321745,64.49806185899139,0.05750374961644411,0.398484256118536,0.36125199496746063,0.03723226115107536,3,11,0,3,0
48,flay06h.nl,66.9328022687333,66.93280219283575,0.7714941687881947,74.10619830526412,73.90441451966763,0.2017837855964899,3,11,0,3,0
49,flay06m.nl,66.93280195497513,66.9328019793274,0.08484409004449844,2.3097512712702155,2.250989716500044,0.05876155477017164,3,11,0,3,0
50,fo7.nl,20.72982474915434,20.7298247201548,0.18001525849103928,8.67607064731419,8.602495605126023,0.07357504218816757,3,9,5,3,0
51,fo7_2.nl,17.749345432133822,17.749345432133822,0.1803025994449854,2.392124878242612,2.354486158117652,0.037638720124959946,2,6,3,2,0
52,fo7_ar25_1.nl,24.95757518869201,24.9575751978493,0.21435892023146152,9.438516458496451,9.359428400173783,0.07908805832266808,3,11,6,3,0
53,fo7_ar2_1.nl,24.95757518648942,24.95757518648942,0.21702993474900723,19.997847005724907,19.86096604168415,0.13688096404075623,4,16,9,4,0
54,fo7_ar3_1.nl,22.517470529413952,22.517470526091163,0.21238019596785307,7.1115209786221385,7.07020129263401,0.041319685988128185,2,6,1,2,0
55,fo7_ar4_1.nl,20.729824693480914,20.72982469099744,0.2277797469869256,40.28931980486959,40.248432950116694,0.040886854752898216,2,6,3,2,0
56,fo7_ar5_1.nl,17.74932903205996,17.74932903205996,0.22174026630818844,27.468952337279916,27.419646056368947,0.04930628091096878,2,6,0,2,0
57,fo8.nl,23.910053287297725,23.910053287297725,0.27433638647198677,135.28445963840932,135.12703769654036,0.15742194186896086,4,16,11,4,0
58,fo8_ar25_1.nl,30.662872079421263,30.662871966835926,0.31571620609611273,121.07163577806205,120.97193627525121,0.09969950281083584,3,11,6,3,0
59,fo8_ar2_1.nl,30.962958253608644,30.96295827327973,0.3280828781425953,60.24429280962795,60.194871194660664,0.04942161496728659,2,6,0,2,0
60,fo8_ar3_1.nl,23.910053335146326,28.085619187601257,0.3391515165567398,108.49582808557898,108.3969005048275,0.09892758075147867,3,11,6,3,0
61,fo8_ar4_1.nl,26.385359763690147,26.385359763690147,0.3245725091546774,60.25667495653033,60.207010948099196,0.04966400843113661,2,6,0,2,0
62,fo8_ar5_1.nl,22.381896419046107,22.381896419046107,0.32812240812927485,60.37398383952677,60.203458587639034,0.1705252518877387,2,6,0,2,0
63,fo9.nl,24.377975959228863,24.377975959228863,0.3896006066352129,17.070229237899184,17.0168777666986,0.053351471200585365,2,6,2,2,0
64,fo9_ar25_1.nl,33.72499994388581,33.7249999427016,0.47609330527484417,60.81353227607906,60.753930769860744,0.05960150621831417,2,6,3,2,0
65,fo9_ar2_1.nl,32.81410250147974,32.81410250800842,0.4870057124644518,60.644328330643475,60.58337736222893,0.06095096841454506,2,6,2,2,0
66,fo9_ar3_1.nl,24.81547612173019,24.81547611411698,0.47511933371424675,33.40815035067499,33.34585823584348,0.062292114831507206,2,6,1,2,0
67,fo9_ar4_1.nl,24.81547613179534,24.81547613179534,0.48617159482091665,30.044528105296195,29.986100485548377,0.058427619747817516,2,6,2,2,0
68,fo9_ar5_1.nl,24.813989754026878,24.813989754026878,0.4777500657364726,49.16989708784968,49.10748423356563,0.06241285428404808,2,6,1,2,0
69,gams01.nl,21505.446994937858,5248.871095420581,5.814229108393192,300.06052316725254,299.29530168138444,0.7652214858680964,8,20,5,8,0
70,ibs2.nl,-inf,FAILED,CRASH
