id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,285506.50498104404,285506.50498104404,8.870847523212433e-07,0.14461328694596887,0.09699217136949301,0.04762111557647586,3,5,0,3,0
1,batch0812.nl,3109204.8076459332,3109204.8076459332,0.21883579064160585,0.34748270316049457,0.20038219494745135,0.1471005082130432,2,3,1,2,0
2,batchdes.nl,167427.65337972456,167427.65337972456,0.031265840865671635,0.0496595841832459,0.025421508587896824,0.024238075595349073,3,3,0,3,0
3,batchs101006m.nl,769440.4053867864,769440.4053867864,1.5129653448238969,18.196999811101705,4.765297376550734,13.43170243455097,7,12,0,7,0
4,batchs121208m.nl,1241125.4904514896,1241125.4904514896,2.7414666591212153,32.98262053215876,8.706086228135973,24.27653430402279,7,10,0,7,0
5,batchs151208m.nl,1543877.6764452767,1543877.6764452767,3.2255331529304385,58.29041592404246,22.314744553994387,35.975671370048076,10,16,0,10,0
6,batchs201210m.nl,-inf,FAILED,CRASH
7,clay0203hfsg.nl,42098.8448576447,830941095.7128476,9.671784937381744e-07,1.7856090958230197,1.2731217569671571,0.5124873388558626,4,16,11,4,0
8,clay0204hfsg.nl,6544.999962762632,6544.983379920454,0.23045567935332656,1.6021481310017407,1.2741165943443775,0.3280315366573632,2,6,3,2,0
9,clay0205hfsg.nl,8092.4999566980405,8092.4999566980405,0.4368747789412737,9.613326407968998,7.762880745343864,1.850445662625134,2,6,0,2,0
10,clay0303hfsg.nl,28351.419449595523,829069506.2475572,0.18062208779156208,2.4529546899721026,1.8697001435793936,0.583254546392709,4,16,12,4,0
11,clay0304hfsg.nl,40262.38749393643,1421082124.5841985,0.31045786710456014,9.914974644314498,8.043089144863188,1.8718854994513094,7,31,26,7,0
12,clay0305hfsg.nl,8092.4999566980505,8092.499956698056,0.5605955198407173,14.72714273398742,12.53902942687273,2.1881133071146905,2,6,0,2,0
13,cvxnonsep_normcon20.nl,-21.7491473846331,-21.206736409237497,0.04755113599821925,0.019953633192926645,0.008871058467775583,0.011082574725151062,2,2,0,2,0
14,cvxnonsep_normcon30.nl,-34.22751206702149,-32.949231506491536,0.03515313472598791,0.023780307732522488,0.010691474191844463,0.013088833540678024,2,2,0,2,0
15,cvxnonsep_normcon40.nl,-32.6296697474825,-30.01776320665603,0.05659495014697313,0.029517289716750383,0.013507825788110495,0.01600946392863989,2,2,0,2,0
16,cvxnonsep_nsig20.nl,80.94929465741761,80.98102765428074,0.032490603160113096,0.02076357789337635,0.00941062904894352,0.01135294884443283,2,2,0,2,0
17,cvxnonsep_nsig20r.nl,80.94927862502492,80.81581789826072,0.022396584041416645,0.02235198998823762,0.00845892122015357,0.01389306876808405,2,2,0,2,0
18,cvxnonsep_nsig30.nl,130.65033700034454,133.5763959708664,0.04733880190178752,0.026943775825202465,0.013361828401684761,0.013581947423517704,2,2,0,2,0
19,cvxnonsep_nsig30r.nl,156.4266167111624,156.2343211644331,0.03175685415044427,0.025937342084944248,0.009355089161545038,0.01658225292339921,2,2,0,2,0
