name,primalbound,dualbound,objsense,cvx_sbmiqp_ee_005.obj,cvx_sbmiqp_ee_005.dual_obj,cvx_sbmiqp_ee_005.load_time,cvx_sbmiqp_ee_005.calc_time,cvx_sbmiqp_ee_005.solver_time,cvx_sbmiqp_ee_005.python_time,cvx_sbmiqp_ee_005.iter_nr,cvx_sbmiqp_ee_005.NLP_runs,cvx_sbmiqp_ee_005.FNLP_runs,cvx_sbmiqp_ee_005.MIQP_runs,cvx_sbmiqp_ee_005.MILP_runs,cvx_sbmiqp_ee_025.obj,cvx_sbmiqp_ee_025.dual_obj,cvx_sbmiqp_ee_025.load_time,cvx_sbmiqp_ee_025.calc_time,cvx_sbmiqp_ee_025.solver_time,cvx_sbmiqp_ee_025.python_time,cvx_sbmiqp_ee_025.iter_nr,cvx_sbmiqp_ee_025.NLP_runs,cvx_sbmiqp_ee_025.FNLP_runs,cvx_sbmiqp_ee_025.MIQP_runs,cvx_sbmiqp_ee_025.MILP_runs,cvx_sbmiqp_ee_050.obj,cvx_sbmiqp_ee_050.dual_obj,cvx_sbmiqp_ee_050.load_time,cvx_sbmiqp_ee_050.calc_time,cvx_sbmiqp_ee_050.solver_time,cvx_sbmiqp_ee_050.python_time,cvx_sbmiqp_ee_050.iter_nr,cvx_sbmiqp_ee_050.NLP_runs,cvx_sbmiqp_ee_050.FNLP_runs,cvx_sbmiqp_ee_050.MIQP_runs,cvx_sbmiqp_ee_050.MILP_runs,cvx_sbmiqp_ee_075.obj,cvx_sbmiqp_ee_075.dual_obj,cvx_sbmiqp_ee_075.load_time,cvx_sbmiqp_ee_075.calc_time,cvx_sbmiqp_ee_075.solver_time,cvx_sbmiqp_ee_075.python_time,cvx_sbmiqp_ee_075.iter_nr,cvx_sbmiqp_ee_075.NLP_runs,cvx_sbmiqp_ee_075.FNLP_runs,cvx_sbmiqp_ee_075.MIQP_runs,cvx_sbmiqp_ee_075.MILP_runs,cvx_sbmiqp_ee_095.obj,cvx_sbmiqp_ee_095.dual_obj,cvx_sbmiqp_ee_095.load_time,cvx_sbmiqp_ee_095.calc_time,cvx_sbmiqp_ee_095.solver_time,cvx_sbmiqp_ee_095.python_time,cvx_sbmiqp_ee_095.iter_nr,cvx_sbmiqp_ee_095.NLP_runs,cvx_sbmiqp_ee_095.FNLP_runs,cvx_sbmiqp_ee_095.MIQP_runs,cvx_sbmiqp_ee_095.MILP_runs
batch,285506.5082,285506.5082,min,364417.00690611626,364417.00690611626,7.702037692070007e-07,0.0423346143215894,0.0289760045707225,0.0133586097508668,2.0,2.0,0.0,2.0,0.0,285506.50498104404,285506.50498104404,6.789341568946838e-07,0.0628062319010496,0.0408339332789182,0.0219722986221313,3.0,4.0,0.0,3.0,0.0,309205.3192681313,309205.3192681313,6.458722054958344e-07,0.1078605940565466,0.0682868654839694,0.0395737285725772,4.0,6.0,0.0,4.0,0.0,285506.50498104404,285506.50498104404,1.0021030902862549e-06,0.0754835372790694,0.0508127119392156,0.0246708253398537,3.0,5.0,0.0,3.0,0.0,285506.50498104404,285506.50498104404,7.748603820800781e-07,0.0751009956002235,0.0498506119474768,0.0252503836527466,3.0,5.0,0.0,3.0,0.0
batch0812,2687026.784,2687026.784,min,3109204.807645933,3109204.8076459332,0.11067493353039026,0.1605070428922772,0.1389514738693833,0.0215555690228939,2.0,3.0,1.0,2.0,0.0,3109204.807645933,3109204.8076459332,0.11144317779690027,0.1574445851147174,0.1356615703552961,0.0217830147594213,2.0,3.0,1.0,2.0,0.0,3109204.807645933,3109204.8076459332,0.11852244893088937,0.2396503109484911,0.139668358489871,0.09998195245862,2.0,3.0,1.0,2.0,0.0,3109204.807645933,3109204.8076459332,0.11132612079381943,0.1573875099420547,0.1358508924022317,0.021536617539823,2.0,3.0,1.0,2.0,0.0,3109204.807645933,3109204.8076459332,0.11300377734005451,0.1903602331876754,0.1356559349223971,0.0547042982652783,2.0,3.0,1.0,2.0,0.0
batchdes,167427.6571,167427.6571,min,167427.65337972456,167427.65337972456,0.025143424980342388,0.033061059191823,0.0171217396855354,0.0159393195062875,3.0,3.0,0.0,3.0,0.0,167427.65337972456,167427.65337972456,0.02719639241695404,0.0335682649165391,0.0170477144420146,0.0165205504745244,3.0,3.0,0.0,3.0,0.0,167427.65337972456,167427.65337972456,0.0495333899743855,0.0380228171125054,0.0200719824060797,0.0179508347064256,3.0,3.0,0.0,3.0,0.0,167427.65337972456,167427.65337972456,0.02539907768368721,0.0339647540822625,0.017510307021439,0.0164544470608234,3.0,3.0,0.0,3.0,0.0,167427.65337972456,167427.65337972456,0.025063032284379005,0.033307010307908,0.0173846827819943,0.0159223275259137,3.0,3.0,0.0,3.0,0.0
batchs101006m,769440.4204,769440.42,min,769440.4053867864,769440.4053867864,1.0158982742577791,1.113219573162496,1.0394777292385695,0.0737418439239263,2.0,5.0,0.0,2.0,0.0,769440.4053867864,769440.4053867864,1.0271078059449792,1.1316369697451591,1.0562718445435166,0.0753651252016425,2.0,5.0,0.0,2.0,0.0,769440.4053867864,769440.4053867864,1.056818360928446,4.607344736345112,2.300025428645313,2.3073193076997995,4.0,7.0,2.0,4.0,0.0,769440.4053867864,769440.4053867864,1.0168444979935884,3.6435007164254793,3.33065692614764,0.3128437902778387,6.0,11.0,2.0,6.0,0.0,769440.4053867864,769440.4053867864,1.021804777905345,3.4891081349924207,3.090740423649549,0.3983677113428712,7.0,12.0,0.0,7.0,0.0
batchs121208m,1241125.514,1241125.513,min,1251917.4517096377,1251917.4517096377,2.449436622671783,1.382440760731697,1.2618097867816689,0.1206309739500284,2.0,4.0,0.0,2.0,0.0,1251917.4517096377,1251917.4517096377,2.4906544014811516,1.6290637264028192,1.521709009073675,0.1073547173291444,2.0,4.0,0.0,2.0,0.0,1251917.4517096377,1251917.4517096377,2.475311509799212,5.260880885180086,2.514208581764251,2.746672303415835,2.0,4.0,0.0,2.0,0.0,1245833.9222658663,1245833.9222658665,2.460566288791597,4.1854951390996575,3.9092446379363537,0.2762505011633038,4.0,7.0,0.0,4.0,0.0,1241125.4904514896,1241125.4904514896,2.4596471367403865,6.712348744273186,6.15288448613137,0.5594642581418157,7.0,10.0,0.0,7.0,0.0
batchs151208m,1543472.398,1543472.398,min,1555163.0877867392,1555163.0877867392,2.905461998656392,2.188353566452861,2.0542239136993885,0.1341296527534723,2.0,5.0,0.0,2.0,0.0,1555163.0877867392,1555163.0877867392,2.943267826922238,2.523782564327121,2.330651926808059,0.1931306375190615,2.0,5.0,0.0,2.0,0.0,1555163.0877867392,1555163.0877867392,2.9143717577680945,6.126061568967998,3.1323251081630588,2.9937364608049397,2.0,5.0,0.0,2.0,0.0,1543472.364609236,1543472.3646092361,2.910338969901204,5.177448685280979,4.842121648602188,0.335327036678791,4.0,8.0,0.0,4.0,0.0,1543877.6764452767,1543877.6764452767,2.910660581663251,17.610911889001727,16.569002493284643,1.0419093957170844,10.0,16.0,0.0,10.0,0.0
batchs201210m,2295348.849,2295348.849,min,2316313.9250678536,2316313.9250678536,5.091723482124507,4.57232791185379,4.33227798063308,0.2400499312207102,2.0,5.0,0.0,2.0,0.0,2316313.9250678536,2316313.9250678536,5.1658715438097715,4.943994062952697,4.763049610890448,0.1809444520622491,2.0,5.0,0.0,2.0,0.0,2316313.9250678536,2316313.9250678536,5.005924377124757,11.157184932846576,6.797233325429261,4.359951607417315,2.0,5.0,0.0,2.0,0.0,2297282.42042192,2297282.42042192,5.098547948524356,14.691178184002638,14.013994559645653,0.6771836243569851,5.0,11.0,0.0,5.0,0.0,2295585.4408099703,2295585.4408099703,5.090841473080218,42.32729352358729,40.02318459749222,2.3041089260950685,15.0,29.0,0.0,15.0,0.0
clay0203hfsg,41573.26252,41573.26248,min,42098.8448576447,42098.8448576447,0.1808542851358652,1.3228339906781912,1.200356357730925,0.1224776329472661,4.0,16.0,11.0,4.0,0.0,42098.8448576447,42098.8448576447,0.18089917208999395,1.3512240555137396,1.2262241076678038,0.1249999478459358,4.0,16.0,11.0,4.0,0.0,42098.8448576447,42098.8448576447,0.18930838722735643,1.5933377989567816,1.2213839022442698,0.3719538967125118,4.0,16.0,11.0,4.0,0.0,42098.8448576447,42098.8448576447,0.18080067541450262,1.38211752474308,1.2501827729865909,0.1319347517564892,4.0,16.0,11.0,4.0,0.0,42098.8448576447,830941095.7128476,0.18510313797742128,1.4188216496258974,1.2948218751698732,0.1239997744560241,4.0,16.0,11.0,4.0,0.0
clay0204hfsg,6545.0,6545.0,min,6544.999962762632,6544.986165103981,0.2307274518534541,1.3358160136267545,1.2923526661470532,0.043463347479701,2.0,6.0,3.0,2.0,0.0,6544.999962762632,6544.986165103981,0.2335087414830923,1.4089107001200318,1.3084439793601632,0.1004667207598686,2.0,6.0,3.0,2.0,0.0,6544.999962762632,6544.986165103981,0.2456322298385203,1.573865200392902,1.4100102209486067,0.1638549794442951,2.0,6.0,3.0,2.0,0.0,6544.999962762632,6544.983379920454,0.23414882458746433,1.2064248267561195,1.1600781874731183,0.0463466392830014,2.0,6.0,3.0,2.0,0.0,6544.999962762632,6544.983379920454,0.2339228531345725,1.2014267137274146,1.1583729861304164,0.0430537275969982,2.0,6.0,3.0,2.0,0.0
clay0205hfsg,8092.5,8092.5,min,8092.49995669804,8092.4999566980405,0.42646621260792017,2.646579494699836,2.5803863490000367,0.066193145699799,2.0,6.0,0.0,2.0,0.0,8092.49995669804,8092.4999566980405,0.4246838893741369,2.9617594685405493,2.89600548800081,0.0657539805397391,2.0,6.0,0.0,2.0,0.0,8092.49995669804,8092.4999566980405,0.4529141276143491,3.907877077814192,3.15337343653664,0.7545036412775517,2.0,6.0,0.0,2.0,0.0,8092.49995669804,8092.4999566980405,0.42703664116561413,3.569355269894004,3.503397205844521,0.0659580640494823,2.0,6.0,0.0,2.0,0.0,8092.49995669804,8092.4999566980405,0.42017164546996355,7.449060754850507,7.384357017464936,0.064703737385571,2.0,6.0,0.0,2.0,0.0
