id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
0,4stufen,1.7976931348623157e+308,91797.544246923382,19.176358558,10,00140,00
1,autocorr_bern20-05,-416.00000004170033,-416.00000004170033,4.598673906,0,0010,10
2,autocorr_bern20-10,-2936,-2936,65.98954502800001,2,0010,10
3,autocorr_bern20-15,-5960.0000005961047,-5960.0000005961047,182.933191026,3,0010,10
4,autocorr_bern25-06,-960.00000009610085,-960.00000009610085,97.81913667900001,1,0010,10
5,autocorr_bern25-13,-8144.0000000099853,-11576,299.957649785,5,1000,10
6,autocorr_bern25-19,-14616.000001461711,-63845.760482180267,299.934166873,4,1000,10
7,autocorr_bern25-25,-10544.00000000999,-54177.933763755711,299.959976765,5,1000,10
8,autocorr_bern30-04,-324,-324,5.0965111,0,0010,10
9,autocorr_bern30-08,-2952.0000000099899,-4398.139240506328,299.971053628,2,1000,10
10,autocorr_bern30-15,-15720.000000009992,-55599.341198979644,299.934147773,8,1000,10
11,autocorr_bern30-23,-30300.000000009986,-171960.67274305542,299.91754466,6,1000,10
12,autocorr_bern30-30,-22488.000000009994,-152449.83052038492,299.95310452,8,1000,10
13,autocorr_bern35-04,-384,-384,9.565865901,0,0010,10
14,autocorr_bern35-09,-5104.0000000099899,-11544.219182112376,299.966958746,3,1000,10
15,autocorr_bern35-18,-31056.000000009994,-168438.5231193926,299.950485801,7,1000,10
16,autocorr_bern35-26,-55040.00000000999,-394176.75921991636,299.953574628,6,1000,10
17,autocorr_bern35-35fix,-40172.00000000999,-317952.67609143449,299.877748026,7,1000,10
18,autocorr_bern40-05,-936.00000000999,-1089.0196078431368,299.992542043,2,1000,10
19,autocorr_bern40-10,-8192.0000000099899,-29837.626409122415,299.938362223,2,1000,10
20,autocorr_bern40-20,-50192.00000000999,-341233.43403820042,299.99328222400004,10,1000,10
21,autocorr_bern40-30,-94624.000000009997,-808336.87098323402,299.967167092,5,1000,10
22,autocorr_bern40-40,-65928.000000009997,-604643.98283064668,299.754513551,5,1000,10
23,autocorr_bern45-05,-1064.0000000099899,-1372.0538302277434,299.98067697399995,2,1000,10
24,autocorr_bern45-11,-12624.000001262524,-64907.989745942767,299.935548334,6,1000,10
