id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs,grad_amplified
0,autocorr_bern20-05.nl,-384.0000000074941,-384.0000000074941,1.1739321053028107e-06,0.043368416372686625,0.02482513803988695,0.018543278332799673,2,2,0,2,1,True
1,autocorr_bern20-10.nl,-2928.0000000074942,-2928.0000223598877,0.5290612308308482,0.18039283622056246,0.16284776339307427,0.017545072827488184,2,2,0,2,0,True
2,autocorr_bern20-15.nl,-5820.000000007494,-5820.000000007494,1.1137675447389483,0.3841300876811147,0.35649902978911996,0.027631057891994715,2,2,0,2,1,True
3,autocorr_bern25-06.nl,-944.0000000074941,-944.0000000074941,0.2797720478847623,0.06155977724120021,0.045220200438052416,0.016339576803147793,2,2,0,2,1,True
4,autocorr_bern25-13.nl,-7992.000000007494,-7992.000000007494,1.3731073047965765,0.31956987641751766,0.292073346208781,0.027496530208736658,2,2,0,2,1,True
5,autocorr_bern25-19.nl,-14476.000000007494,-14476.000054584745,2.7161045158281922,0.8888280792161822,0.853343179449439,0.03548489976674318,2,2,0,2,0,True
6,autocorr_bern25-25.nl,-10544.000000007494,-10544.000000007494,3.6478326991200447,0.9794601667672396,0.9295703615061939,0.049889805261045694,2,2,0,2,1,True
7,autocorr_bern30-04.nl,-320.0000000074941,-320.0000080923262,0.37380144326016307,0.03990915510803461,0.02766125276684761,0.012247902341187,2,2,0,2,0,True
8,autocorr_bern30-08.nl,-2904.0000000074942,-2904.0000000074942,0.5670208320952952,0.17255217442288995,0.15117364237084985,0.0213785320520401,2,2,0,2,1,True
9,autocorr_bern30-15.nl,-15424.000000007494,-15424.000000007494,2.5114678177051246,0.7835988579317927,0.7420126884244382,0.0415861695073545,2,2,0,2,1,True
10,autocorr_bern30-23.nl,-30272.000000007494,-30272.000000007494,5.588697397150099,1.6807716568000615,1.614719266537577,0.06605239026248455,2,2,0,2,1,True
11,autocorr_bern30-30.nl,-22512.000000007494,-22512.000133532823,7.200638509355485,1.7920317919924855,1.7267200229689479,0.06531176902353764,2,2,0,2,0,True
12,autocorr_bern35-04.nl,-368.0000000074941,-368.0000000074941,0.6458448469638824,0.04126926092430949,0.02690924610942602,0.01436001481488347,2,2,0,2,1,True
13,autocorr_bern35-09.nl,-5080.000000007494,-5080.000040562266,0.9006073451600969,0.32310805702582,0.3031545104458928,0.019953546579927206,2,2,0,2,0,True
14,autocorr_bern35-18.nl,-30936.000000007494,-30936.000116458334,4.946029721293598,2.356466162018478,2.3015147922560573,0.054951369762420654,2,2,0,2,0,True
15,autocorr_bern35-26.nl,-55072.000000007494,-55072.000000007494,9.566621854901314,2.4793978417292237,2.386426384560764,0.09297145716845989,2,2,0,2,1,True
16,autocorr_bern35-35fix.nl,-40512.000000007494,-40512.00023919946,12.911159097217023,3.5583014828152955,3.4632515655830503,0.0950499172322452,2,2,0,2,0,True
17,autocorr_bern40-05.nl,-896.0000000074941,-896.0000000074941,1.092403578106314,0.05927221290767193,0.04170852433890104,0.017563688568770885,2,2,0,2,1,True
18,autocorr_bern40-10.nl,-8144.000000007494,-8144.000000007494,1.5479259481653571,0.30622788006439805,0.27291322872042656,0.03331465134397149,2,2,0,2,1,True
19,autocorr_bern40-20.nl,-50240.000000007494,-50240.00018630719,7.795620771124959,2.1542154820635915,2.083455288782716,0.07076019328087568,2,2,0,2,0,True
20,autocorr_bern40-30.nl,-94520.0000000075,-94520.0000000075,16.054282901342958,3.8047411208972335,3.671260409988463,0.13348071090877056,2,2,0,2,1,True
21,autocorr_bern40-40.nl,-67392.0000000075,-67392.0000000075,21.749556503258646,4.353125113062561,4.194574703928083,0.15855040913447738,2,2,0,2,1,True
22,autocorr_bern45-05.nl,-1024.000000007494,-1024.0000191722534,1.5918132197111845,0.05416270112618804,0.040502398274838924,0.013660302851349115,2,2,0,2,0,True
23,autocorr_bern45-11.nl,-12520.000000007494,-12520.000000007494,2.256492357701063,0.585470786318183,0.5498683527112007,0.03560243360698223,2,2,0,2,1,True
24,autocorr_bern45-23.nl,-84712.0000000075,-84712.0000000075,12.737471851054579,3.463392818812281,3.3505948465317488,0.11279797228053212,2,2,0,2,1,True
25,autocorr_bern45-34.nl,-152304.00000000748,-152304.00040051757,25.159086569212377,6.364686917047948,6.184322405606508,0.1803645114414394,2,2,0,2,0,True
26,autocorr_bern45-45.nl,-112004.0000000075,-112004.00063365376,33.69016914302483,6.313281221315265,6.094762112479657,0.21851910883560777,2,2,0,2,0,True
27,autocorr_bern50-06.nl,-2064.0000000074942,-2064.000024127285,2.7506438507698476,0.10718711698427796,0.08944795280694962,0.017739164177328348,2,2,0,2,0,True
28,autocorr_bern50-13.nl,-23564.000000007494,-23564.000000007494,4.336960833054036,1.461591275408864,1.4053295059129596,0.056261769495904446,2,2,0,2,1,True
29,autocorr_bern50-25.nl,-124268.0000000075,-124268.0000000075,18.331135511863977,3.9332925439812243,3.78193597542122,0.15135656856000423,2,2,0,2,1,True
30,autocorr_bern50-38.nl,-232360.00000000748,-232360.00051332288,38.064945496153086,10.430973017122597,10.206235699355602,0.22473731776699424,2,2,0,2,0,True
31,autocorr_bern50-50.nl,-166680.00000000748,-166680.00000000748,49.94578638393432,9.239603742025793,8.91107640042901,0.3285273415967822,2,2,0,2,1,True
32,autocorr_bern55-06.nl,-2304.0000000074942,-2304.0000000074942,3.7209192481823266,0.15800699777901173,0.1360944313928485,0.021912566386163235,2,2,0,2,1,True
33,autocorr_bern55-14.nl,-32792.000000007494,-32792.00016595195,5.901098599191755,1.6729547148570418,1.6146238283254206,0.05833088653162122,2,2,0,2,0,True
34,autocorr_bern55-28.nl,-189396.00000000748,-189396.00000000748,27.697620548307896,6.9816092839464545,6.7823139652609825,0.199295318685472,2,2,0,2,1,True
35,autocorr_bern55-41.nl,-337056.0000000075,-337056.0000000075,53.33172231167555,11.469827519729733,11.15012101503089,0.31970650469884276,2,2,0,2,1,True
36,autocorr_bern55-55.nl,-238476.00000000748,-238476.00000000748,71.74191915988922,13.822349903173745,13.413595544639975,0.40875435853376985,2,2,0,2,1,True
37,autocorr_bern60-08.nl,-6728.000000007494,-6728.000000007494,5.506562133785337,0.3526638178154826,0.32356717018410563,0.029096647631376982,2,2,0,2,1,True
38,autocorr_bern60-15.nl,-44448.000000007494,-44448.000000007494,7.999280607327819,2.398085420951247,2.314132960513234,0.08395246043801308,2,2,0,2,1,True
39,autocorr_bern60-30.nl,-259328.00000000748,-259328.00000000748,37.238946336787194,6.417846313212067,6.172939920797944,0.24490639241412282,2,2,0,2,1,True
40,autocorr_bern60-45.nl,-478640.0000000075,-478640.0009455506,90.62196363788098,20.07480347994715,19.573245047125965,0.5015584328211844,2,2,0,2,0,True
41,autocorr_bern60-60.nl,-350768.0000000075,-350768.0000000075,154.9988152179867,30.26427485095337,29.48199206450954,0.7822827864438295,2,2,0,2,1,True
42,batch0812_nc.nl,2707562.1669900334,2692789.763382838,6.631772303953767,1.0882716518826783,0.6451993705704808,0.44307228131219745,3,7,2,3,2,True
43,batch_nc.nl,285506.5078974896,282907.1143571367,0.06448484724387527,0.08307566586881876,0.06206292472779751,0.02101274114102125,2,2,0,2,1,True
44,casctanks.nl,9.163479254022507,9.162553091745933,1.4009324871003628,19.102003876585513,1.1004352304153144,18.0015686461702,3,4,0,3,2,True
45,cecil_13.nl,-94766.4240259945,-94766.4240259945,4.323215344455093,44.89743257826194,2.05532245663926,42.84211012162268,3,8,0,3,2,True
46,chp_shorttermplan1a.nl,-inf,FAILED,Problem can not be solved - Feasible zone is empty
47,contvar.nl,809679.594933076,809679.594933076,333.8489140048623,302.8433022759855,125.15919303614646,177.68410923983902,120,549,0,6,119,True
