name,primalbound,dualbound,objsense,noncvx_sbmiqp_010.obj,noncvx_sbmiqp_010.dual_obj,noncvx_sbmiqp_010.load_time,noncvx_sbmiqp_010.calc_time,noncvx_sbmiqp_010.solver_time,noncvx_sbmiqp_010.python_time,noncvx_sbmiqp_010.iter_nr,noncvx_sbmiqp_010.NLP_runs,noncvx_sbmiqp_010.FNLP_runs,noncvx_sbmiqp_010.MIQP_runs,noncvx_sbmiqp_010.MILP_runs,noncvx_sbmiqp_010.grad_amplified,noncvx_sbmiqp_015.obj,noncvx_sbmiqp_015.dual_obj,noncvx_sbmiqp_015.load_time,noncvx_sbmiqp_015.calc_time,noncvx_sbmiqp_015.solver_time,noncvx_sbmiqp_015.python_time,noncvx_sbmiqp_015.iter_nr,noncvx_sbmiqp_015.NLP_runs,noncvx_sbmiqp_015.FNLP_runs,noncvx_sbmiqp_015.MIQP_runs,noncvx_sbmiqp_015.MILP_runs,noncvx_sbmiqp_050.obj,noncvx_sbmiqp_050.dual_obj,noncvx_sbmiqp_050.load_time,noncvx_sbmiqp_050.calc_time,noncvx_sbmiqp_050.solver_time,noncvx_sbmiqp_050.python_time,noncvx_sbmiqp_050.iter_nr,noncvx_sbmiqp_050.NLP_runs,noncvx_sbmiqp_050.FNLP_runs,noncvx_sbmiqp_050.MIQP_runs,noncvx_sbmiqp_050.MILP_runs,noncvx_sbmiqp_050.grad_amplified,noncvx_sbmiqp_100.obj,noncvx_sbmiqp_100.dual_obj,noncvx_sbmiqp_100.load_time,noncvx_sbmiqp_100.calc_time,noncvx_sbmiqp_100.solver_time,noncvx_sbmiqp_100.python_time,noncvx_sbmiqp_100.iter_nr,noncvx_sbmiqp_100.NLP_runs,noncvx_sbmiqp_100.FNLP_runs,noncvx_sbmiqp_100.MIQP_runs,noncvx_sbmiqp_100.MILP_runs,noncvx_sbmiqp_100.grad_amplified,noncvx_sbmiqp_500.obj,noncvx_sbmiqp_500.dual_obj,noncvx_sbmiqp_500.load_time,noncvx_sbmiqp_500.calc_time,noncvx_sbmiqp_500.solver_time,noncvx_sbmiqp_500.python_time,noncvx_sbmiqp_500.iter_nr,noncvx_sbmiqp_500.NLP_runs,noncvx_sbmiqp_500.FNLP_runs,noncvx_sbmiqp_500.MIQP_runs,noncvx_sbmiqp_500.MILP_runs,noncvx_sbmiqp_500.grad_amplified
chp_shorttermplan2c,,415236.6569,min,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
chp_shorttermplan2d,481837.5709,468312.2133,min,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
contvar,809149.8272,560271.2759,min,809679.594933076,809679.594933076,1.4339709398336709,303.3542749262415,120.60030468087643,182.75397024536505,104,471,0,6,103,True,809679.594933076,769976.8599442414,1.2762338588945568,302.71536232717335,131.4019111180678,171.31345120910555,123,564,0,6,122,809679.594933076,782951.3445620018,1.3739650528877974,302.5329850888811,123.32678986154497,179.20619522733614,108,491,0,6,107,True,809679.594933076,769976.8599442414,0.877334319986403,302.31055179424584,126.22619758266956,176.08435421157628,117,534,0,6,116,True,809679.594933076,809679.594933076,333.8489140048623,302.8433022759855,125.15919303614646,177.68410923983902,120,549,0,6,119,True
csched1,-30639.25785,-30639.25788,min,-29279.1675994476,-29279.1675994476,0.10862370301038027,0.22119700070470572,0.04409615136682987,0.17710084933787584,2,2,0,2,1,True,-29279.1675994476,-29279.1675994476,0.1110364799387753,0.2243080148473382,0.03777247853577137,0.18653553631156683,2,2,0,2,1,-29279.1675994476,-29279.1675994476,0.10332144098356366,0.2604264519177377,0.042500671464949846,0.21792578045278788,2,2,0,2,1,True,-29279.1675994476,-29279.1675994476,0.10301076481118798,0.24708425626158714,0.045082897413522005,0.20200135884806514,2,2,0,2,1,True,-29279.1675994476,-29279.1675994476,0.0942289587110281,0.21395813999697566,0.03919391939416528,0.17476422060281038,2,2,0,2,1,True
csched1a,-30430.17682,-30430.177,min,-30279.747114268284,-30279.747114268284,0.04560763714835048,0.02957555279135704,0.015561552252620459,0.014014000538736582,2,2,0,2,1,True,-30279.747114268284,-30279.747114268284,0.04584284871816635,0.029073992278426886,0.015840755309909582,0.013233236968517303,2,2,0,2,1,-30279.747114268284,-30279.747114268284,0.03685142705217004,0.02939003286883235,0.015351341105997562,0.014038691762834787,2,2,0,2,1,True,-30279.747114268284,-30279.747114268284,0.04871934885159135,0.03664075490087271,0.020263390615582466,0.01637736428529024,2,2,0,2,1,True,-30279.747114268284,-30279.747114268284,0.03876575594767928,0.028625901322811842,0.015115521382540464,0.013510379940271378,2,2,0,2,1,True
csched2,-166101.9964,-229195.8069,min,-158092.77551309433,-166247.12660587113,3.9885335420258343,302.3082619868219,104.00259193452075,198.30567005230114,127,448,0,2,126,True,-158092.77551309433,-166247.12660587113,3.0640463209711015,300.53904033685103,108.93534225644544,191.6036980804056,129,458,0,2,128,-158092.77551309433,-166247.12660587113,3.9482552432455122,301.25526994932443,104.63681884529069,196.61845110403374,125,438,0,2,124,True,-158092.77551309433,-166247.12660587113,4.019400401040912,303.14077866310254,96.50827346555889,206.63250519754365,122,423,0,2,121,True,-158092.77551309433,-166247.12660587113,3.965761966072023,301.62653328711167,94.60622701095417,207.0203062761575,120,413,0,2,119,True
csched2a,-165398.7013,-303731.3272,min,-159309.57411478402,-160713.54918707733,0.45415067533031106,45.26305198716,5.871056241448969,39.39199574571103,32,89,0,7,31,True,-159335.47548022488,-160480.64715678408,0.4430229249410331,86.65672230627388,22.7144098659046,63.94231244036928,101,229,0,6,100,-159087.85844285277,-160669.90101762905,0.5968134929426014,142.6556709590368,35.057289170566946,107.59838178846985,98,276,0,7,97,True,-159152.85526655914,-160748.157900104,0.43013238022103906,174.31414515385404,51.60467239189893,122.70947276195511,101,283,0,8,100,True,-158446.4701025541,-158446.4701025541,0.43220105580985546,303.55508698755875,46.26776772830635,257.2873192592524,91,286,0,6,90,True
deb10,209.4278116,0.0,min,209.42774290705364,209.42774290705364,0.3681459939107299,0.44088296592235565,0.26466041430830956,0.1762225516140461,2,2,0,2,1,True,209.42774290705364,209.42774290705364,0.3651180979795754,0.49670877074822783,0.2910073189996183,0.20570145174860954,2,2,0,2,1,209.42774290705364,209.42774290705364,0.3618557429872453,0.6759431012906134,0.3444075174629688,0.3315355838276446,2,2,0,2,1,True,209.42774290705364,209.42774290705364,0.39918745728209615,1.112139601726085,0.36701364163309336,0.7451259600929916,2,2,0,2,1,True,209.42774290705364,209.42774290705364,0.43131468910723925,0.667998552788049,0.2748077209107578,0.3931908318772912,2,2,0,2,1,True
deb6,201.7393049,0.0,min,201.7392614417501,200.82556734649302,1.7181206159293652,21.929953056387603,10.732918518129736,11.197034538257867,5,16,1,3,4,True,201.7392614417501,200.82556734649302,1.6763706072233617,15.930015800055116,9.020325514953583,6.909690285101533,5,16,1,3,4,201.7392614417501,200.82556734649302,1.971246562898159,23.899577470961958,11.941589865833521,11.957987605128437,5,16,1,3,4,True,201.7392614417501,200.82556734649302,2.785222902428359,26.899160539731383,12.541422987822443,14.35773755190894,5,16,1,3,4,True,201.7392614417501,200.82556734649302,1.8418633178807795,20.147523902822286,9.582053204067051,10.565470698755234,5,16,1,3,4,True
deb7,116.5845592,0.0,min,118.80932417703326,118.80932417703326,6.155218011699617,300.2372722681612,268.141601359006,32.09567090915516,7,28,19,3,6,True,118.80932417703326,118.80932417703326,4.231313346885145,304.32990522589535,289.2596504949033,15.07025473099202,10,40,28,3,9,118.80932417703326,118.80932417703326,4.3383628451265395,300.20939171593636,271.6465719714761,28.562819744460285,7,28,19,3,6,True,118.80932417703326,118.80932417703326,5.734604821074754,307.9491029330529,283.16432004095986,24.784782892093062,8,32,22,3,7,True,118.80932417703326,118.80932417703326,5.914213402196765,307.7714638239704,277.5093912035227,30.262072620447725,8,32,22,3,7,True
